[Vaccination.YearWeek],Uptake first dose,Uptake full vaccination
2020-W52,0.0%,0.0%
2020-W53,1.0%,0.0%
2021-W01,2.4%,0.0%
2021-W02,3.6%,0.0%
2021-W03,3.8%,0.6%
2021-W04,3.9%,1.9%
2021-W05,4.1%,3.1%
2021-W06,5.0%,3.6%
2021-W07,6.8%,3.8%
2021-W08,9.2%,4.0%
2021-W09,11.5%,4.4%
2021-W10,12.5%,5.6%
2021-W11,13.6%,6.9%
2021-W12,14.8%,8.0%
2021-W13,16.6%,8.8%
2021-W14,18.9%,9.7%
2021-W15,23.0%,10.9%
2021-W16,25.1%,12.0%
