[Vaccination.YearWeek],Uptake first dose,Uptake full vaccination
2020-W52,0.0%,0.0%
2020-W53,0.0%,0.0%
2021-W01,0.0%,0.0%
2021-W02,0.0%,0.0%
2021-W03,0.0%,0.0%
2021-W04,0.0%,0.0%
2021-W05,21.4%,15.0%
2021-W06,26.0%,19.6%
2021-W07,32.4%,20.6%
2021-W08,43.0%,21.3%
2021-W09,54.7%,22.2%
2021-W10,60.0%,22.7%
2021-W11,61.0%,24.0%
2021-W12,61.6%,24.9%
2021-W13,62.0%,25.8%
2021-W14,62.4%,26.7%
2021-W15,62.8%,27.4%
2021-W16,62.8%,27.4%
